Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-03-02,2636.75,2639.21,2581.46,2581.46,127790665
2009-03-03,2597.03,2616.76,2552.31,2554.55,145369770
2009-03-04,2593.16,2675.68,2575.4,2675.68,184009842
2009-03-05,2662.34,2664.19,2569.63,2569.63,150761178
2009-03-06,2566.19,2597.75,2521.46,2534.45,174305377
2009-03-09,2546.26,2552.99,2465.46,2519.29,167153891
2009-03-10,2520.22,2673.03,2510.24,2663.68,196891982
2009-03-11,2653.55,2734.7,2617.44,2674.2,185835574
2009-03-12,2636.94,2697.43,2594.73,2694.25,147420943
2009-03-13,2744.41,2754.25,2694.59,2705.63,194162152
2009-03-16,2761.54,2791.66,2747.29,2791.66,157856963
2009-03-17,2764.02,2782.17,2722.19,2767.28,193759569
2009-03-18,2805.14,2813.93,2720.44,2760.34,211737472
2009-03-19,2784.93,2833.21,2760.67,2776.99,190365649
2009-03-20,2748.73,2798.04,2724.56,2791.14,181417757
2009-03-23,2845.77,2873.99,2801.94,2869.57,159286886
2009-03-24,2915.11,2916.67,2840.96,2874.39,204178670
2009-03-25,2853.76,2918.23,2844.8,2893.45,164503183
2009-03-26,2899.93,2906.48,2856.89,2892.07,122187589
2009-03-27,2890.42,2902,2823.99,2840.62,123236461
2009-03-30,2788.37,2794.78,2719.34,2719.34,138402481
2009-03-31,2746.4,2807.96,2734.69,2807.34,124138711
2009-04-01,2792.59,2841.38,2741.27,2839.61,141112036
2009-04-02,2896.67,3000.98,2896.67,2992.06,220341673
2009-04-03,2972.87,3019.02,2947.99,2958.74,165657428
2009-04-06,2993.08,3018.36,2905.12,2929.75,177432744
2009-04-07,2936.16,2950.36,2876.02,2902.31,130506923
2009-04-08,2855.22,2936.82,2847.96,2921.06,121728265
2009-04-09,2949.95,2990.63,2923.41,2974.18,133225318
2009-04-14,2994.45,3028.36,2960.82,3000.22,156583728
2009-04-15,2963.77,3003,2956.45,2985.74,127173597
2009-04-16,3006.9,3054.14,2977.83,3038.18,142455406
2009-04-17,3048.64,3102.04,3029.61,3091.96,175715408
2009-04-20,3081.15,3082.56,2958.53,2969.4,145767806
2009-04-21,2963.99,3003.34,2898.52,2973.94,163176748
2009-04-22,2974.57,3026.12,2935.18,3025.24,161798903
2009-04-23,2996.1,3056.64,2983.99,3008.62,142954927
2009-04-24,3022.16,3102.85,3016.95,3102.85,136097038
2009-04-27,3043.3,3109.51,3040.45,3102.43,111811435
2009-04-28,3044.65,3085.44,3016.06,3051.02,140160260
2009-04-29,3073.35,3125.17,3062.89,3116.94,139345330
2009-04-30,3142.42,3194.25,3141.36,3159.85,159721710
2009-05-04,3180.26,3241.34,3168.25,3237.97,112888970
2009-05-05,3243.62,3260.62,3209.87,3225,163333108
2009-05-06,3220.79,3308.64,3205.73,3283.51,177368285
2009-05-07,3309.75,3355.95,3244.27,3251.52,188692623
2009-05-08,3281.65,3345.46,3279.16,3312.59,116938534
2009-05-11,3312.65,3312.65,3224.54,3248.67,129939214
2009-05-12,3209.47,3270.61,3209.47,3231.1,117184195
2009-05-13,3241.25,3254.83,3152.53,3152.9,170728910
2009-05-14,3136.31,3167.13,3118.06,3156.29,135837790
2009-05-15,3179.29,3190.74,3134.9,3169.05,119754613
2009-05-18,3135.12,3245.39,3115.27,3245.39,114642283
2009-05-19,3264.3,3294.69,3246.08,3274.96,148876866
2009-05-20,3262.36,3320.33,3258.58,3303.37,147147211
2009-05-21,3261.32,3266.47,3208.81,3217.41,89277310
2009-05-22,3233.82,3260.63,3199.8,3227.97,85234326
2009-05-25,3235.22,3249.01,3168.22,3236.16,56037253
2009-05-26,3215.96,3277.23,3170.56,3270.09,115310467
2009-05-27,3281.92,3301.77,3267.1,3294.86,111323644
2009-05-28,3250.05,3293.61,3231.61,3263.7,99830329
2009-05-29,3306.43,3317.58,3267.89,3277.65,124714001
2009-06-01,3339.38,3384.08,3331.61,3379.49,100384703
2009-06-02,3346.56,3399.59,3342.28,3378.04,116628332
2009-06-03,3387.88,3387.88,3288.99,3309.65,103978792
2009-06-04,3316.91,3351.64,3308.49,3312.03,108064767
2009-06-05,3338.73,3389.81,3318.03,3339.05,114015791
2009-06-08,3327.56,3330.85,3275.7,3289.66,87891923
2009-06-09,3314.66,3332.35,3284.14,3296.73,100423623
2009-06-10,3338.76,3370.87,3303.04,3315.27,108811033
2009-06-11,3301.06,3343.06,3294.34,3334.94,84168162
2009-06-12,3331.11,3340.5,3310.52,3326.14,88431741
2009-06-15,3308.57,3308.57,3213.32,3219.58,125452859
