Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-03-03,14414,14419,13941,14017,1305088000
2009-03-04,14192,14377,14074,14363,618827456
2009-03-05,14234,14234,13501,13523,628282240
2009-03-06,13447,13483,12844,12895,883883200
2009-03-09,13032,13032,12332,12621,725986368
2009-03-10,12639,13503,12611,13503,817817024
2009-03-11,13481,14025,13326,13568,798319296
2009-03-12,13486,13935,13290,13921,782122048
2009-03-13,14198,14303,13741,13804,722210176
2009-03-16,14162,14297,13967,14158,552335104
2009-03-17,14162,14162,13818,14082,596014784
2009-03-18,14380,14532,14204,14473,907221312
2009-03-19,14629,15252,14590,14749,1140663168
2009-03-20,14646,15031,14509,14948,986110272
2009-03-23,15278,15811,15278,15811,841318912
2009-03-24,16135,16177,15642,15837,913715456
2009-03-25,15779,16340,15779,16263,744541120
2009-03-26,16335,16483,16175,16483,691823808
2009-03-27,16555,16614,16188,16343,564918720
2009-03-30,16039,16039,15269,15269,681399936
2009-03-31,15368,15875,15368,15875,613198720
2009-04-01,15785,16105,15470,16047,741565824
2009-04-02,16483,16811,16337,16811,997297792
2009-04-03,16683,17051,16528,16900,1060576064
2009-04-06,17098,17302,16471,16690,938004352
2009-04-07,16690.46,16785.03,16281.52,16561.18,823957056
2009-04-08,16561.18,17003.38,16197.81,16939.33,984924544
2009-04-09,16939.33,17477.02,16939.22,17407.97,1074820864
2009-04-14,17407.97,17964.52,17407.97,17815.58,994424256
2009-04-15,17815.58,17968.76,17559.84,17811.48,1061853696
2009-04-16,17811.48,18306.9,17798.8,18153.55,973632256
2009-04-17,18153.55,18580.27,18153.55,18509.83,892050624
2009-04-20,18509.83,18686.43,17671.3,17731.36,858791936
2009-04-21,17731.36,17970.35,17133.02,17688.27,1014619712
2009-04-22,17688.27,18133.2,17580.74,18085.99,971663296
2009-04-23,18086,18367.62,17939.2,18144.76,1053232896
2009-04-24,18144.76,18663.97,18144.76,18651.36,899592320
2009-04-27,18648.96,18827.94,18344.49,18823.44,930175360
2009-04-28,18823.44,18823.44,18152.23,18497.77,707479744
2009-04-29,18497.77,18937.04,18497.77,18903.82,739719488
2009-04-30,18903.82,19375.35,18903.82,19176.54,865443776
2009-05-04,19176.54,19808.51,19176.54,19792.12,667618816
2009-05-05,19792.12,19993.56,19638,19685.22,828972736
2009-05-06,19685.22,20238.28,19642.08,20104.21,869893696
2009-05-07,20104.21,20678.62,19671.16,19814.21,1097961088
2009-05-08,19814.21,20508.55,19814.21,20508.55,825459648
