Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-03-02,7428.6,7464.3,7270.5,7270.5,446653240
2009-03-03,7315.9,7359.2,7199.1,7219.4,447179920
2009-03-04,7295.5,7390.7,7257.4,7357.5,422175160
2009-03-05,7295.3,7297,7025.9,7025.9,532071760
2009-03-06,7061.9,7086.8,6883.3,6936.9,483449780
2009-03-09,6965.4,6970,6702.6,6817.4,469440180
2009-03-10,6808.1,7153.3,6771.7,7153.3,522897100
2009-03-11,7143,7357.1,7063.3,7204.7,445440160
2009-03-12,7142.8,7340.5,7008.6,7340.5,411776200
2009-03-13,7492.5,7533.9,7376,7427.8,449673400
2009-03-16,7546.6,7647.4,7531.6,7636.9,435149440
2009-03-17,7604.8,7715.7,7530.4,7645.3,433818660
2009-03-18,7739.2,7812.4,7552.7,7661.6,432005640
2009-03-19,7736.7,7845.6,7675.3,7701.6,441160500
2009-03-20,7640.1,7710,7527.2,7710,566690300
2009-03-23,7838.5,7972.4,7783.3,7952.3,462879560
2009-03-24,8093.2,8106.1,7902.3,7989.5,493219980
2009-03-25,7952.7,8121.7,7947.6,8072.4,451605220
2009-03-26,8107.6,8109.9,7973.7,8076.2,367490640
2009-03-27,8043.5,8113.4,7911.7,7927.6,381807360
2009-03-30,7782.2,7788,7589.1,7601.1,418941820
2009-03-31,7644.3,7815,7639.7,7815,368038660
2009-04-01,7761.3,8002,7637.2,7961,499756180
2009-04-02,8115.8,8347.4,8102.7,8334.7,696733620
2009-04-03,8280.6,8410.7,8245.3,8319.9,516176320
2009-04-06,8435,8502.2,8224.5,8321.1,478786660
2009-04-07,8403,8455.7,8247.6,8346,469487700
2009-04-08,8210.8,8415.3,8175.1,8404.7,368030520
2009-04-09,8457.6,8714,8400.1,8704.8,471804520
2009-04-14,8688.3,8862.9,8677.5,8834.8,745697700
2009-04-15,8748.3,8825.3,8662.9,8711.9,524965980
2009-04-16,8790.9,8925.8,8703.8,8874.5,489322020
2009-04-17,8898.3,9030.9,8803,9030.9,652748140
2009-04-20,8988.3,9018.1,8672,8718.2,494138260
2009-04-21,8706.7,8758.8,8413.6,8615.8,631339500
2009-04-22,8608.2,8838.6,8547.3,8834.1,516360020
2009-04-23,8777.8,8876.3,8717.7,8769.2,406568800
2009-04-24,8768.7,8905.2,8730.8,8888.2,427877340
2009-04-27,8739.9,8799.8,8633.8,8777,509691820
2009-04-28,8619.2,8706.9,8503.7,8656.3,453975720
2009-04-29,8730.1,8933.6,8697,8891.3,508898940
2009-04-30,8986.9,9100.8,8957.3,9038,615597400
2009-05-04,9048.1,9096,8927.6,9074.7,428876800
2009-05-05,9065.2,9195.6,9037.5,9136.7,532416280
2009-05-06,9119.7,9272.9,9086.6,9229,508084500
2009-05-07,9292.2,9443.9,9175.9,9228.9,664120600
2009-05-08,9310.1,9443.7,9278.6,9408.1,561055220
2009-05-11,9457.6,9460.3,9232.2,9316.8,523331600
2009-05-12,9196.9,9377.8,9181.9,9269,641615260
2009-05-13,9320.1,9351.2,8982.5,9000.6,649266200
2009-05-14,8979.3,9002.7,8838.5,8984.2,479057260
2009-05-15,9035.4,9085,8922.1,8978.6,413255920
2009-05-18,8879.5,9163.2,8828.5,9159.3,480651380
2009-05-19,9251.7,9387.3,9232.8,9341.6,534946280
2009-05-20,9356.9,9449.4,9261.1,9389.4,544907440
2009-05-21,9282.4,9299.9,9180.6,9225.3,367775320
2009-05-22,9250.1,9378.2,9206.4,9308.6,373430200
2009-05-25,9336.8,9371.7,9175.6,9347.4,192540260
2009-05-26,9294.7,9438.8,9209.6,9405.7,434859700
2009-05-27,9449,9522,9422.9,9510.8,468878960
2009-05-28,9407,9496,9368.5,9435.5,425146260
2009-05-29,9519.3,9555.6,9413.1,9424.3,493683520
2009-06-01,9554.8,9671.6,9538.5,9630.9,452419000
2009-06-02,9566.1,9708.8,9554.4,9664.8,519208580
2009-06-03,9706.7,9713.6,9426.5,9464.8,489234900
2009-06-04,9484.5,9530.5,9375.3,9454.6,380922520
2009-06-05,9505.9,9626.6,9455.2,9519,438414240
2009-06-08,9485,9498.5,9341.9,9396.2,377015320
2009-06-09,9460.3,9536.2,9435.8,9497.7,389913920
2009-06-10,9618.7,9706.4,9605.9,9627.6,464852520
2009-06-11,9624.8,9738.6,9618.9,9708.4,369668420
2009-06-12,9688.3,9741.2,9651.8,9714.4,328576160
2009-06-15,9673.5,9679.4,9494.6,9518.7,387867040
2009-06-16,9540.3,9588,9495,9497.9,383444160
2009-06-17,9451.4,9471.5,9200.7,9283.2,626210860
2009-06-18,9309.1,9414.2,9218.9,9384,467976080
2009-06-19,9373.6,9603.7,9350.7,9580.9,737411400
2009-06-22,9566.8,9566.8,9331.4,9338.5,483628640
2009-06-23,9305.1,9413.3,9285,9348.7,499623960
2009-06-24,9389.6,9641.2,9313.3,9617.6,464443760
2009-06-25,9618.6,9714.9,9470.8,9667.2,462787160
2009-06-26,9717.9,9789.4,9625,9686.9,403798340
2009-06-29,9642.4,9854.2,9632.8,9845.7,472848200
2009-06-30,9889.8,9890.6,9728.3,9787.8,501354920
2009-07-01,9798.1,9929.4,9792.5,9903.7,451086020
2009-07-02,9857.8,9922.3,9643.5,9643.5,506304700
2009-07-03,9696.8,9723.8,9591,9707.8,263629960
2009-07-06,9627.6,9634.1,9469.3,9569,357646520
2009-07-07,9597.8,9683.3,9506.6,9520,406767900
2009-07-08,9461.8,9503.5,9326,9360.6,417844460
2009-07-09,9400.3,9517.7,9390.3,9443.1,352547140
2009-07-10,9382.3,9431,9324.6,9344.9,332647480
2009-07-13,9295.3,9579.3,9241.2,9567.4,331166220
2009-07-14,9612.6,9676.1,9551.7,9634,348212260
2009-07-15,9687.1,9905.3,9670.8,9905.3,480452060
2009-07-16,9887.7,10069.3,9855.1,9997.6,478045260
2009-07-17,10049.3,10125.8,9962.9,10041.9,354553760
2009-07-20,10136.9,10163.7,10078.7,10142.8,360787680
2009-07-21,10163,10222.7,10095.8,10122.2,466496140
2009-07-22,10123.3,10153.4,10046.6,10153.4,377671800
2009-07-23,10176.7,10403,10170.8,10369.8,518092520
2009-07-24,10360.9,10496.8,10343,10438.6,322755400
2009-07-27,10535.9,10638.7,10488.2,10591.7,444430140
2009-07-28,10614.3,10737.6,10600.4,10664,580886900
2009-07-29,10648.9,10743.3,10598.7,10661.6,550447920
2009-07-30,10743.2,10895.3,10663,10874.4,584051820
2009-07-31,10841.5,10932.9,10778.3,10855.1,416272120
2009-08-03,10809.9,10952.7,10800.1,10901,429500060
2009-08-04,10905.7,10905.7,10758.2,10876.8,369417400
2009-08-05,10880.6,10922.5,10672.6,10704.4,407426580
2009-08-06,10808.7,10849.9,10730.2,10776,438192260
2009-08-07,10738.7,10984,10713.2,10947.6,411776200
2009-08-10,10934.2,10934.2,10848.2,10923,254512500
2009-08-11,10947.9,11011.3,10786,10831.9,345670380
2009-08-12,10808.2,10955.9,10737.7,10933.8,336737720
2009-08-13,10942.5,11144.1,10925.8,11046.8,400722520
2009-08-14,11055.5,11120.7,10852.8,10901.9,337097420
2009-08-17,10857.4,10857.4,10537.9,10598.5,426823760
2009-08-18,10626.5,10708.3,10599.2,10708.3,259284300
2009-08-19,10616.9,10749.2,10511.9,10695.5,301145900
2009-08-20,10804.8,10918,10795.1,10892.5,299112440
2009-08-21,10880.1,11193.9,10847.7,11161,511553460
2009-08-24,11239.8,11349.2,11189.7,11303.8,393877660
2009-08-25,11255.4,11433.2,11219.5,11427.8,442895640
2009-08-26,11400.7,11446.1,11319,11376.4,417852600
2009-08-27,11342.7,11422.7,11293.8,11356.9,338536660
2009-08-28,11419.4,11522.8,11395.8,11442.7,261819800
2009-08-31,11359.8,11481.4,11342.9,11365.1,308667260
2009-09-01,11434,11443,11167.6,11173,426787900
2009-09-02,11126.6,11138.8,10874.4,10999.7,528861300
2009-09-03,11022.7,11109.2,10969.4,11018.1,411220920
2009-09-04,11088.2,11222.7,11064.7,11222.7,477512420
2009-09-07,11328.2,11416.5,11319.7,11388.6,330501600
2009-09-08,11425.4,11463.7,11319.9,11366.6,479273300
2009-09-09,11325,11469.9,11319.3,11462,410794560
2009-09-10,11514.1,11516.7,11260,11340.8,513860160
2009-09-11,11388.4,11531.4,11387.4,11452.6,307449560
2009-09-14,11343.5,11517.1,11283,11492.6,451956340
2009-09-15,11520.7,11631.8,11481,11593.3,420988040
2009-09-16,11657.5,11800,11648.8,11746.9,555095200
2009-09-17,11836.8,11836.8,11687.3,11771,535426760
2009-09-18,11728.6,11837.7,11718.2,11777.3,707949000
2009-09-21,11772.3,11774,11623,11727.4,407971080
2009-09-22,11784.2,11899.3,11771.6,11816.7,471355280
2009-09-23,11813.1,11879.6,11801.1,11853.3,396051700
2009-09-24,11808,11900.9,11640.8,11695.9,558551840
2009-09-25,11692.8,11712.5,11561,11643.8,391683820
2009-09-28,11622,11891.2,11541.2,11891.2,462867020
2009-09-29,11933.5,11938.2,11801.7,11853.7,469482640
2009-09-30,11870,11929.5,11628.9,11756.1,578880060
2009-10-01,11766.6,11851.1,11511.4,11518.2,518647800
2009-10-02,11385.4,11427.8,11268.5,11326.7,525640500
2009-10-05,11322.2,11579,11271,11557,689153960
2009-10-06,11594.7,11836,11591.8,11817.1,712854120
2009-10-07,11821.9,11854.3,11671.3,11721.4,538171260
2009-10-08,11857.8,11905.7,11753.1,11814.3,591601780
2009-10-09,11809,11907.5,11691.8,11743.2,426098860
2009-10-12,11760.7,11870.3,11734.1,11748.8,363471240
2009-10-13,11717,11735.7,11542.1,11608.3,508443320
2009-10-14,11714.2,11881.7,11713.1,11870.9,667221720
2009-10-15,11900.3,11942.8,11792.8,11849.7,619408900
2009-10-16,11889.4,11952.9,11611.5,11676.4,809613640
2009-10-19,11747.7,11907,11730.5,11885.3,535082680
2009-10-20,11945.7,11951.8,11782.6,11790.2,459761280
2009-10-21,11786.6,11911.4,11644.9,11875.2,529305260
2009-10-22,11713,11855.5,11686.3,11828.6,498703260
2009-10-23,11911,11960.4,11733.4,11739.8,532882020
2009-10-26,11796.8,11833.2,11583.8,11622.6,474117160
2009-10-27,11590.4,11679.3,11546.4,11634,478277580
2009-10-28,11588,11600,11378.8,11429.8,596506020
2009-10-29,11398.7,11690.4,11357.7,11683.4,590287500
2009-10-30,11689,11761.1,11366.2,11414.8,542134340
2009-11-02,11354,11514.8,11344.3,11465.8,375852620
2009-11-03,11328.5,11358.4,11179.9,11242.4,531228720
2009-11-04,11308.7,11398.8,11286,11387.7,433286040
2009-11-05,11313.9,11621.1,11249.6,11548.9,461152780
2009-11-06,11518,11627.7,11391.6,11580.6,460145840
2009-11-09,11654.7,11816.8,11653.8,11816.8,361641500
2009-11-10,11807.4,11891.9,11777.8,11814,493056300
2009-11-11,11822.9,11893.6,11784.9,11801.4,470391020
2009-11-12,11790.2,11916.4,11757.4,11834.5,478831100
2009-11-13,11835.3,11868.6,11754.1,11867,440935880
2009-11-16,11943,12007.1,11910.1,11986.9,477049980
2009-11-17,11964.9,12016.1,11928.6,11959.4,454250060
2009-11-18,12004,12102.6,11999.3,12034.4,476616140
2009-11-19,12028.4,12029.7,11817,11846.2,450875700
2009-11-20,11888.9,11942.2,11702.2,11719.3,526981620
2009-11-23,11845.9,11975.9,11832.9,11940.5,351011540
2009-11-24,11832.8,11973,11808,11905.2,376670360
2009-11-25,12004.1,12021.5,11900.6,11965.8,356968040
2009-11-26,11894.2,11904.5,11639.2,11657.5,461916620
2009-11-27,11431.4,11829.2,11415.8,11776.8,522333900
2009-11-30,11839.4,11874.6,11603.6,11644.7,425003040
2009-12-01,11746.2,11878.2,11735.9,11862.1,509511860
2009-12-02,11856.7,11930.5,11788.2,11868.8,421261060
2009-12-03,11969,11998.3,11881.3,11905.3,418540760
2009-12-04,11864.4,12055.3,11831.6,12032.2,478081780
2009-12-07,11975.8,12065,11930.5,12011.8,306836640
2009-12-08,11957.3,12035,11758.4,11808.9,395058840
2009-12-09,11771.7,11833.7,11497.4,11541.2,727552760
2009-12-10,11535.1,11610.4,11468.7,11594.7,563654300
2009-12-11,11610.5,11676.7,11598.3,11616,537260240
2009-12-14,11705.4,11748.9,11645.5,11705.9,370046600
2009-12-15,11696.7,11757.5,11592.4,11735.5,459413460
2009-12-16,11747.1,11875.2,11739.7,11863.2,521605260
2009-12-17,11764.4,11820.5,11648.6,11696.9,462259160
2009-12-18,11709.6,11814.1,11622.6,11645,637828840
2009-12-21,11696.9,11843,11656.8,11830.8,397309660
2009-12-22,11810.2,11943.4,11810,11890.8,367785440
2009-12-23,11957.1,11990.4,11916.4,11967.5,322301320
2009-12-28,12014,12070.9,11995.7,12023.2,242574420
2009-12-29,12034.7,12056.5,11985.2,12035.1,252384880
2009-12-30,12018.4,12020.1,11923,11940,259655880
2010-01-04,11986.5,12145.1,11986.1,12145.1,485645160
2010-01-05,12141.8,12240.5,12139.8,12204.4,583976140
2010-01-06,12216.4,12230.7,12147.6,12222.5,329473760
2010-01-07,12163,12199.7,12079.1,12166.3,500541140
2010-01-08,12218,12232.2,12079.9,12163,587221360
2010-01-11,12192.5,12233.9,12066.1,12074.5,670240120
2010-01-12,12094.4,12134.2,11941.1,11966.1,528577500
2010-01-13,11923,12027.2,11909.6,11958.3,497085380
2010-01-14,12049.1,12050.4,11902.3,11999.8,418980320
2010-01-15,12028.5,12085.3,11818.6,11845,616577060
2010-01-18,11888.5,11897.7,11788.8,11870.7,258163840
2010-01-19,11850.4,12049.2,11772.5,12022.6,532321900
2010-01-20,11987.3,12039,11642.5,11709,584651320
2010-01-21,11771.8,11788.8,11414.1,11444,696632200
2010-01-22,11410,11410,11204.5,11373.4,744464600
2010-01-25,11275.4,11383.3,11223.7,11249.3,498984420
2010-01-26,11158.8,11385.5,11140.4,11347.3,529504360
2010-01-27,11199.5,11203.9,11016.8,11042.2,795191320
2010-01-28,11154.9,11200.5,10829.3,10829.3,712087860
2010-01-29,10904,11045.3,10821.2,10947.7,558945640
2010-02-01,10852.4,11033.7,10839.4,10995.2,505431740
2010-02-02,11022.4,11158.4,10945.5,11140.9,524205660
2010-02-03,11189.6,11201.6,10867.8,10888.4,641304620
2010-02-04,10882.3,10920.1,10220.7,10241.7,991081520
2010-02-05,10123.3,10277.5,9916.6,10103.3,1174415440
2010-02-08,10132.1,10259.2,9970.9,10206.3,663034460
2010-02-09,10160.8,10339.2,10084.9,10275.4,600769400
2010-02-10,10383.1,10543.1,10358.9,10455,695006400
2010-02-11,10554.5,10557.4,10200,10281.7,580534680
2010-02-12,10393.9,10409.8,10176.6,10224.9,414409380
2010-02-15,10298.5,10386.8,10240.3,10293.6,250956200
2010-02-16,10397.9,10430.5,10230.4,10393.9,351513140
2010-02-17,10470.9,10551.5,10426.5,10498.6,448152320
2010-02-18,10466.7,10574.2,10417.9,10574.2,452114080
2010-02-19,10472.4,10676.7,10404,10676.7,580809020
2010-02-22,10752.5,10773.6,10541.1,10570.5,344084620
2010-02-23,10597.6,10638.6,10267.5,10312.9,478809980
2010-02-24,10304.7,10333.8,10089.4,10254,466169000
2010-02-25,10195.6,10312.4,10047.2,10126.2
2010-02-26,10304.7,10345.2,10145.5,10333.6,523348760
2010-03-01,10434.7,10504.9,10287.6,10434.9,370783600
2010-03-02,10441.8,10532.9,10339.3,10521.5,387731080
