Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2009-03-03,11.093,11.154,10.929,11.074
2009-03-04,11.054,11.288,11.049,11.257
2009-03-05,11.245,11.281,11.164,11.222
2009-03-06,11.15,11.249,11.122,11.203
2009-03-09,11.234,11.242,11.083,11.097
2009-03-10,11.145,11.289,11.076,11.252
2009-03-11,11.298,11.36,11.262,11.299
2009-03-12,11.291,11.304,11.196,11.296
2009-03-13,11.335,11.386,11.291,11.337
2009-03-16,11.366,11.468,11.257,11.266
2009-03-17,11.28,11.416,11.273,11.413
2009-03-18,11.42,11.434,11.263,11.35
2009-03-19,11.407,11.637,11.366,11.557
2009-03-20,11.57,11.619,11.518,11.557
2009-03-23,11.647,11.711,11.575,11.694
2009-03-24,11.698,11.721,11.575,11.659
2009-03-25,11.627,11.636,11.251,11.29
2009-03-26,11.314,11.431,11.305,11.363
2009-03-27,11.398,11.41,11.311,11.361
2009-03-30,11.354,11.356,11.098,11.132
2009-03-31,11.14,11.265,11.139,11.205
2009-04-01,11.217,11.266,11.19,11.253
2009-04-02,11.32,11.393,11.285,11.349
2009-04-03,11.33,11.386,11.27,11.351
2009-04-06,11.398,11.437,11.3,11.356
2009-04-07,11.36,11.382,11.252,11.277
2009-04-08,11.248,11.304,11.201,11.298
2009-04-09,11.32,11.428,11.31,11.424
2009-04-14,11.379,11.437,11.344,11.39
2009-04-15,11.357,11.358,11.243,11.281
2009-04-16,11.324,11.389,11.293,11.374
2009-04-17,11.383,11.47,11.345,11.449
2009-04-20,11.446,11.449,11.32,11.336
2009-04-21,11.357,11.408,11.34,11.404
2009-04-22,11.403,11.473,11.395,11.457
2009-04-23,11.458,11.544,11.416,11.519
2009-04-24,11.521,11.547,11.451,11.502
2009-04-27,11.513,11.52,11.31,11.402
2009-04-28,11.402,11.454,11.294,11.403
2009-04-29,11.404,11.496,11.397,11.456
2009-04-30,11.455,11.546,11.416,11.537
2009-05-04,11.521,11.563,11.48,11.527
2009-05-05,11.526,11.542,11.4,11.465
