Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2009-03-02,0.2106,0.2106,0.2106,0.2106
2009-03-03,0.21078,0.21078,0.21078,0.21078
2009-03-04,0.21083,0.21083,0.21083,0.21083
2009-03-05,0.21297,0.21297,0.21297,0.21297
2009-03-06,0.21056,0.21056,0.21056,0.21056
2009-03-09,0.21157,0.21157,0.21157,0.21157
2009-03-10,0.21143,0.21143,0.21143,0.21143
2009-03-11,0.21716,0.21716,0.21716,0.21716
2009-03-12,0.21646,0.21646,0.21646,0.21646
2009-03-13,0.22305,0.22305,0.22305,0.22305
2009-03-16,0.22252,0.22252,0.22252,0.22252
2009-03-17,0.22395,0.22395,0.22395,0.22395
2009-03-18,0.22069,0.22069,0.22069,0.22069
2009-03-19,0.2205,0.2205,0.2205,0.2205
2009-03-20,0.2153,0.2153,0.2153,0.2153
2009-03-23,0.21859,0.21859,0.21859,0.21859
2009-03-24,0.22071,0.22071,0.22071,0.22071
2009-03-25,0.21951,0.21951,0.21951,0.21951
2009-03-26,0.21933,0.21933,0.21933,0.21933
2009-03-27,0.21795,0.21795,0.21795,0.21795
2009-03-30,0.2119,0.2119,0.2119,0.2119
2009-03-31,0.21271,0.21271,0.21271,0.21271
2009-04-01,0.21523,0.21523,0.21523,0.21523
2009-04-02,0.22274,0.22274,0.22274,0.22274
2009-04-03,0.2246,0.2246,0.2246,0.2246
2009-04-06,0.22658,0.22658,0.22658,0.22658
2009-04-07,0.22172,0.22172,0.22172,0.22172
2009-04-08,0.22203,0.22203,0.22203,0.22203
2009-04-09,0.22518,0.22518,0.22518,0.22518
2009-04-10,0.22917,0.22917,0.22917,0.22917
2009-04-14,0.22802,0.22802,0.22802,0.22802
2009-04-15,0.23612,0.23612,0.23612,0.23612
2009-04-16,0.23275,0.23275,0.23275,0.23275
2009-04-17,0.23338,0.23338,0.23338,0.23338
2009-04-20,0.2294,0.2294,0.2294,0.2294
2009-04-21,0.22579,0.22579,0.22579,0.22579
2009-04-22,0.22618,0.22618,0.22618,0.22618
2009-04-23,0.22652,0.22652,0.22652,0.22652
2009-04-24,0.2234,0.2234,0.2234,0.2234
2009-04-27,0.22036,0.22036,0.22036,0.22036
2009-04-28,0.21892,0.21892,0.21892,0.21892
2009-04-29,0.22473,0.22473,0.22473,0.22473
2009-04-30,0.22811,0.22811,0.22811,0.22811
2009-05-04,0.22772,0.22772,0.22772,0.22772
2009-05-05,0.22982,0.22982,0.22982,0.22982
2009-05-06,0.22762,0.22762,0.22762,0.22762
2009-05-07,0.23062,0.23062,0.23062,0.23062
2009-05-08,0.22983,0.22983,0.22983,0.22983
2009-05-11,0.22871,0.22871,0.22871,0.22871
2009-05-12,0.22728,0.22728,0.22728,0.22728
2009-05-13,0.22757,0.22757,0.22757,0.22757
2009-05-14,0.22343,0.22343,0.22343,0.22343
2009-05-15,0.2234,0.2234,0.2234,0.2234
2009-05-18,0.22335,0.22335,0.22335,0.22335
2009-05-19,0.2282,0.2282,0.2282,0.2282
2009-05-20,0.2295,0.2295,0.2295,0.2295
2009-05-21,0.22687,0.22687,0.22687,0.22687
2009-05-22,0.22719,0.22719,0.22719,0.22719
2009-05-25,0.22658,0.22658,0.22658,0.22658
2009-05-26,0.2253,0.2253,0.2253,0.2253
2009-05-27,0.22567,0.22567,0.22567,0.22567
2009-05-28,0.22284,0.22284,0.22284,0.22284
2009-05-29,0.22428,0.22428,0.22428,0.22428
2009-06-01,0.22499,0.22499,0.22499,0.22499
2009-06-02,0.22299,0.22299,0.22299,0.22299
2009-06-03,0.22286,0.22286,0.22286,0.22286
2009-06-04,0.22199,0.22199,0.22199,0.22199
2009-06-05,0.22043,0.22043,0.22043,0.22043
2009-06-08,0.22049,0.22049,0.22049,0.22049
2009-06-09,0.22164,0.22164,0.22164,0.22164
2009-06-10,0.22357,0.22357,0.22357,0.22357
2009-06-12,0.22414,0.22414,0.22414,0.22414
2009-06-15,0.22218,0.22218,0.22218,0.22218
2009-06-16,0.2204,0.2204,0.2204,0.2204
2009-06-17,0.22147,0.22147,0.22147,0.22147
2009-06-18,0.21996,0.21996,0.21996,0.21996
2009-06-19,0.22005,0.22005,0.22005,0.22005
2009-06-22,0.22204,0.22204,0.22204,0.22204
2009-06-23,0.21969,0.21969,0.21969,0.21969
2009-06-24,0.2199,0.2199,0.2199,0.2199
2009-06-25,0.22141,0.22141,0.22141,0.22141
2009-06-26,0.22186,0.22186,0.22186,0.22186
2009-06-29,0.22268,0.22268,0.22268,0.22268
2009-06-30,0.22373,0.22373,0.22373,0.22373
2009-07-01,0.22646,0.22646,0.22646,0.22646
2009-07-02,0.22873,0.22873,0.22873,0.22873
2009-07-03,0.22867,0.22867,0.22867,0.22867
2009-07-06,0.2281,0.2281,0.2281,0.2281
2009-07-07,0.22877,0.22877,0.22877,0.22877
2009-07-08,0.22603,0.22603,0.22603,0.22603
2009-07-09,0.22948,0.22948,0.22948,0.22948
2009-07-10,0.22878,0.22878,0.22878,0.22878
2009-07-13,0.22704,0.22704,0.22704,0.22704
2009-07-14,0.22929,0.22929,0.22929,0.22929
2009-07-15,0.23307,0.23307,0.23307,0.23307
2009-07-16,0.23259,0.23259,0.23259,0.23259
2009-07-17,0.23157,0.23157,0.23157,0.23157
2009-07-20,0.23253,0.23253,0.23253,0.23253
2009-07-21,0.2343,0.2343,0.2343,0.2343
2009-07-22,0.23418,0.23418,0.23418,0.23418
2009-07-23,0.23561,0.23561,0.23561,0.23561
2009-07-24,0.23731,0.23731,0.23731,0.23731
2009-07-27,0.24023,0.24023,0.24023,0.24023
2009-07-28,0.23966,0.23966,0.23966,0.23966
2009-07-29,0.23838,0.23838,0.23838,0.23838
2009-07-30,0.23919,0.23919,0.23919,0.23919
2009-07-31,0.24036,0.24036,0.24036,0.24036
2009-08-03,0.24285,0.24285,0.24285,0.24285
2009-08-04,0.24369,0.24369,0.24369,0.24369
2009-08-05,0.24337,0.24337,0.24337,0.24337
2009-08-06,0.24176,0.24176,0.24176,0.24176
2009-08-07,0.23988,0.23988,0.23988,0.23988
2009-08-10,0.24359,0.24359,0.24359,0.24359
2009-08-11,0.24202,0.24202,0.24202,0.24202
2009-08-12,0.23783,0.23783,0.23783,0.23783
2009-08-13,0.24268,0.24268,0.24268,0.24268
2009-08-14,0.24278,0.24278,0.24278,0.24278
2009-08-17,0.23842,0.23842,0.23842,0.23842
2009-08-18,0.23949,0.23949,0.23949,0.23949
2009-08-19,0.23923,0.23923,0.23923,0.23923
2009-08-20,0.24158,0.24158,0.24158,0.24158
2009-08-21,0.24248,0.24248,0.24248,0.24248
2009-08-24,0.24294,0.24294,0.24294,0.24294
2009-08-25,0.24393,0.24393,0.24393,0.24393
2009-08-26,0.2446,0.2446,0.2446,0.2446
2009-08-27,0.24227,0.24227,0.24227,0.24227
2009-08-28,0.24477,0.24477,0.24477,0.24477
2009-08-31,0.24391,0.24391,0.24391,0.24391
2009-09-01,0.24375,0.24375,0.24375,0.24375
2009-09-02,0.2391,0.2391,0.2391,0.2391
2009-09-03,0.24162,0.24162,0.24162,0.24162
2009-09-04,0.24259,0.24259,0.24259,0.24259
2009-09-07,0.24243,0.24243,0.24243,0.24243
2009-09-08,0.24409,0.24409,0.24409,0.24409
2009-09-09,0.24334,0.24334,0.24334,0.24334
2009-09-10,0.23981,0.23981,0.23981,0.23981
2009-09-11,0.2389,0.2389,0.2389,0.2389
2009-09-14,0.23551,0.23551,0.23551,0.23551
2009-09-15,0.24015,0.24015,0.24015,0.24015
2009-09-16,0.24096,0.24096,0.24096,0.24096
2009-09-17,0.24269,0.24269,0.24269,0.24269
2009-09-18,0.24127,0.24127,0.24127,0.24127
2009-09-21,0.24098,0.24098,0.24098,0.24098
2009-09-22,0.24059,0.24059,0.24059,0.24059
2009-09-23,0.23957,0.23957,0.23957,0.23957
2009-09-24,0.23935,0.23935,0.23935,0.23935
2009-09-25,0.23745,0.23745,0.23745,0.23745
2009-09-28,0.23659,0.23659,0.23659,0.23659
2009-09-29,0.23808,0.23808,0.23808,0.23808
2009-09-30,0.23682,0.23682,0.23682,0.23682
2009-10-01,0.23681,0.23681,0.23681,0.23681
2009-10-02,0.23507,0.23507,0.23507,0.23507
2009-10-05,0.23716,0.23716,0.23716,0.23716
2009-10-06,0.23935,0.23935,0.23935,0.23935
2009-10-07,0.23845,0.23845,0.23845,0.23845
2009-10-08,0.23612,0.23612,0.23612,0.23612
2009-10-09,0.23452,0.23452,0.23452,0.23452
2009-10-12,0.23473,0.23473,0.23473,0.23473
2009-10-13,0.23688,0.23688,0.23688,0.23688
2009-10-14,0.23759,0.23759,0.23759,0.23759
2009-10-15,0.23833,0.23833,0.23833,0.23833
2009-10-16,0.23765,0.23765,0.23765,0.23765
2009-10-19,0.23816,0.23816,0.23816,0.23816
2009-10-20,0.23947,0.23947,0.23947,0.23947
2009-10-21,0.24086,0.24086,0.24086,0.24086
2009-10-22,0.23834,0.23834,0.23834,0.23834
2009-10-23,0.23929,0.23929,0.23929,0.23929
2009-10-26,0.23969,0.23969,0.23969,0.23969
2009-10-27,0.23802,0.23802,0.23802,0.23802
2009-10-28,0.23507,0.23507,0.23507,0.23507
2009-10-29,0.23507,0.23507,0.23507,0.23507
2009-10-30,0.23568,0.23568,0.23568,0.23568
2009-11-02,0.23529,0.23529,0.23529,0.23529
2009-11-03,0.23306,0.23306,0.23306,0.23306
2009-11-04,0.2344,0.2344,0.2344,0.2344
2009-11-05,0.2343,0.2343,0.2343,0.2343
2009-11-06,0.23564,0.23564,0.23564,0.23564
2009-11-09,0.23671,0.23671,0.23671,0.23671
2009-11-10,0.23785,0.23785,0.23785,0.23785
2009-11-12,0.24143,0.24143,0.24143,0.24143
2009-11-13,0.2431,0.2431,0.2431,0.2431
2009-11-16,0.24385,0.24385,0.24385,0.24385
2009-11-17,0.2441,0.2441,0.2441,0.2441
2009-11-18,0.24444,0.24444,0.24444,0.24444
2009-11-19,0.2422,0.2422,0.2422,0.2422
2009-11-20,0.24105,0.24105,0.24105,0.24105
2009-11-23,0.24271,0.24271,0.24271,0.24271
2009-11-24,0.24266,0.24266,0.24266,0.24266
2009-11-25,0.24305,0.24305,0.24305,0.24305
2009-11-26,0.24189,0.24189,0.24189,0.24189
2009-11-27,0.23919,0.23919,0.23919,0.23919
